ID,name,sort name,birth year,death year,Has Account,Admin Link,VIAF id,Gender,Birth Date,Death Date,Wikidata URL,Wikipedia URL,Nationality
6006,Émile Zola,"Zola, Émile",1840.0,1902.0,False,/admin/people/person/6006/change/,http://viaf.org/viaf/32004502/,Male,1840.0,1902.0,https://www.wikidata.org/entity/Q504#sitelinks-wikipedia,https://en.wikipedia.org/wiki/ƒmile_Zola,France
6637,Oliver St. John Gogarty,"Gogarty, Oliver St. John",1878.0,1957.0,False,/admin/people/person/6637/change/,http://viaf.org/viaf/32004745/,Male,1878.0,1957.0,https://www.wikidata.org/entity/Q1388518#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Oliver_St._John_Gogarty,Ireland
6133,Robert Nathan,"Nathan, Robert",1894.0,1985.0,False,/admin/people/person/6133/change/,http://viaf.org/viaf/32007405/,Male,1894.0,1985.0,https://www.wikidata.org/entity/Q592511#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Robert_Nathan,United States
7201,John Fante,"Fante, John",1909.0,1983.0,False,/admin/people/person/7201/change/,http://viaf.org/viaf/32008159/,Male,1909.0,1983.0,https://www.wikidata.org/entity/Q319746#sitelinks-wikipedia,https://en.wikipedia.org/wiki/John_Fante,United States
6078,Robert Frost,"Frost, Robert",1874.0,1963.0,False,/admin/people/person/6078/change/,http://viaf.org/viaf/32010055/,Male,1874.0,1963.0,https://www.wikidata.org/entity/Q168728#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Robert_Frost,United States
6065,Robert Burns,"Burns, Robert",1759.0,1796.0,False,/admin/people/person/6065/change/,http://viaf.org/viaf/32012434/,Male,1759.0,1796.0,https://www.wikidata.org/entity/Q81960#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Robert_Burns,Scotland
8035,Guy Boothby,"Boothby, Guy",1867.0,1905.0,False,/admin/people/person/8035/change/,http://viaf.org/viaf/32015580/,Male,1867.0,1905.0,https://www.wikidata.org/entity/Q252307#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Guy_Boothby,Australia
10025,Henry George,"George, Henry",1839.0,1897.0,False,/admin/people/person/10025/change/,http://viaf.org/viaf/32024877/,Male,1839.0,1897.0,https://www.wikidata.org/entity/Q355245#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Henry_George,United States
6717,Maurice Gerschon Hindus,"Hindus, Maurice Gerschon",1891.0,1969.0,False,/admin/people/person/6717/change/,http://viaf.org/viaf/32038130/,,1891.0,1969.0,https://www.wikidata.org/entity/Q6793132#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Maurice_G._Hindus,Russia; United States
6032,H. E. Bates,"Bates, H. E.",1905.0,1974.0,False,/admin/people/person/6032/change/,http://viaf.org/viaf/32045124/,Male,1905.0,1974.0,https://www.wikidata.org/entity/Q1608240#sitelinks-wikipedia,https://en.wikipedia.org/wiki/H._E._Bates,United Kingdom
8240,Bernard Bosanquet,"Bosanquet, Bernard",1848.0,1923.0,False,/admin/people/person/8240/change/,http://viaf.org/viaf/32067668/,Male,1848.0,1923.0,https://www.wikidata.org/entity/Q822329#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Bernard_Bosanquet_(philosopher),United Kingdom
5789,Edna Ferber,"Ferber, Edna",1887.0,1968.0,False,/admin/people/person/5789/change/,http://viaf.org/viaf/32079532/,Female,1887.0,1968.0,https://www.wikidata.org/entity/Q283496#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Edna_Ferber,United States
6311,Van Wyck Brooks,"Brooks, Van Wyck",1886.0,1963.0,False,/admin/people/person/6311/change/,http://viaf.org/viaf/32080684/,Male,1886.0,1963.0,https://www.wikidata.org/entity/Q647006#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Van_Wyck_Brooks,United States
7002,Alice Corbin Henderson,"Henderson, Alice Corbin",1881.0,1949.0,False,/admin/people/person/7002/change/,http://viaf.org/viaf/32082442/,Female,1881.0,1949.0,https://www.wikidata.org/entity/Q4725793#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Alice_Corbin_Henderson,United States
6041,Amy Lowell,"Lowell, Amy",1874.0,1925.0,False,/admin/people/person/6041/change/,http://viaf.org/viaf/32082875/,Female,1874.0,1925.0,https://www.wikidata.org/entity/Q265841#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Amy_Lowell,United States
7748,Richard Wilhelm,"Wilhelm, Richard",1873.0,1930.0,False,/admin/people/person/7748/change/,http://viaf.org/viaf/32089717/,Male,1873.0,1930.0,https://www.wikidata.org/entity/Q62126#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Richard_Wilhelm_(sinologist),Germany
7758,George S. Kaufman,"Kaufman, George S.",1889.0,1961.0,False,/admin/people/person/7758/change/,http://viaf.org/viaf/32098387/,Male,1889.0,1961.0,https://www.wikidata.org/entity/Q163662#sitelinks-wikipedia,https://en.wikipedia.org/wiki/George_S._Kaufman,United States
7110,Brander Matthews,"Matthews, Brander",1852.0,1929.0,False,/admin/people/person/7110/change/,http://viaf.org/viaf/32113174/,Male,1852.0,1929.0,https://www.wikidata.org/entity/Q4956679#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Brander_Matthews,United States
7949,Stuart Palmer,"Palmer, Stuart",1905.0,1968.0,False,/admin/people/person/7949/change/,http://viaf.org/viaf/32118681/,Male,1905.0,1968.0,https://www.wikidata.org/entity/Q1634191#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Stuart_Palmer,United States
6617,Ray Strachey,"Strachey, Ray",1887.0,1940.0,False,/admin/people/person/6617/change/,http://viaf.org/viaf/32125035/,Female,1887.0,1940.0,https://www.wikidata.org/entity/Q7298165#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Ray_Strachey,United Kingdom
7597,Henry Furst,"Furst, Henry",1893.0,1967.0,False,/admin/people/person/7597/change/,http://viaf.org/viaf/32129944/,Male,,,https://www.wikidata.org/entity/Q3784931#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Henry_Furst,United States
6281,Charles Daly King,"King, Charles Daly",1895.0,1963.0,False,/admin/people/person/6281/change/,http://viaf.org/viaf/32168376/,Male,1895.0,1963.0,https://www.wikidata.org/entity/Q3666371#sitelinks-wikipedia,,United States
8006,Wolfgang Amadeus Mozart,"Mozart, Wolfgang Amadeus",1756.0,1791.0,False,/admin/people/person/8006/change/,http://viaf.org/viaf/32197206/,Male,1756.0,1791.0,https://www.wikidata.org/entity/Q254#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart,Austria
7771,Wallace Irwin,"Irwin, Wallace",1876.0,1959.0,False,/admin/people/person/7771/change/,http://viaf.org/viaf/32226582/,Male,1876.0,1959.0,https://www.wikidata.org/entity/Q7962825#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Wallace_Irwin,United States
6472,Dorothy Whipple,"Whipple, Dorothy",1893.0,1966.0,False,/admin/people/person/6472/change/,http://viaf.org/viaf/32238977/,Female,,,https://www.wikidata.org/entity/Q5298681#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Dorothy_Whipple,United Kingdom
6879,Marguerite Steen,"Steen, Marguerite",1894.0,1975.0,False,/admin/people/person/6879/change/,http://viaf.org/viaf/32243514/,Female,,,https://www.wikidata.org/entity/Q6760816#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Marguerite_Steen,United Kingdom
