uri,genre,title,author,editor,translator,introduction,illustrator,photographer,year,format,uncertain,ebook_url,volumes_issues,notes,event_count,borrow_count,purchase_count,circulation_years,updated
https://shakespeareandco.princeton.edu/books/galsworthy-justice/,Drama,Justice,"Galsworthy, John",,,,,,1910,Book,FALSE,https://archive.org/details/justicetragedyin00gals/page/n9/mode/2up,,,5,3,0,1920;1921;1924;1935;1938,2020-08-23T19:24:53+00:00
https://shakespeareandco.princeton.edu/books/walpole-maradick-forty-transition/,Fiction,Maradick at Forty: A Transition,"Walpole, Hugh",,,,,,1910,Book,FALSE,https://archive.org/details/maradickatfortyt00walprich,,,3,3,0,1928;1936;1927,2021-11-15T20:21:18.334258+00:00
https://shakespeareandco.princeton.edu/books/thorndike-minor-elizabethan-drama/,Drama,Minor Elizabethan Drama,"Norton, Thomas;Sackville, Thomas, Earl of Dorset;Peele, George;Kyd, Thomas;Udall, Nicholas;Lyly, John;Greene, Robert","Thorndike, Ashley Horace",,,,,1910,Book,FALSE,https://archive.org/details/minorelizabetha01unkngoog,Vol. 1 Pre-Shakespearean Tragedies,From the Everyman's Library series.,2,2,0,1941;1950,2021-11-16T16:53:30.141234+00:00
https://shakespeareandco.princeton.edu/books/benson-none-gods/,Fiction,None Other Gods,"Benson, Robert-Hugh",,,,,,1910,Book,FALSE,https://archive.org/details/noneothergods00bens,,,1,0,1,1937,2021-11-12T16:35:28.086361+00:00
https://shakespeareandco.princeton.edu/books/france-life-letters/,Nonfiction,On Life & Letters,"France, Anatole",,,,,,1910,Book,FALSE,https://archive.org/details/onlifeletters00franiala,,,2,2,0,1926,2021-11-12T02:49:06.816102+00:00
https://shakespeareandco.princeton.edu/books/huneker-promenades-impressionist/,Nonfiction,Promenades of an Impressionist,"Huneker, James",,,,,,1910,Book,FALSE,https://archive.org/details/promenadesofimpr00hune/page/n7/mode/2up,,,2,2,0,1923;1926,2021-02-02T03:51:49+00:00
https://shakespeareandco.princeton.edu/books/saki-reginald-russia-sketches/,Fiction,Reginald in Russia and Other Sketches,Saki,,,,,,1910,Book,FALSE,https://archive.org/details/reginaldinrussia00sakirich,,,1,1,0,1935,2021-11-08T05:51:55.109247+00:00
https://shakespeareandco.princeton.edu/books/maxwell-spinster-parish/,Fiction,Spinster of this Parish,"Maxwell, W. B.",,,,,,1910,Book,FALSE,https://archive.org/details/spinsterofthispa00maxwrich,,,2,2,0,1928;1936,2021-11-05T01:54:24.688460+00:00
https://shakespeareandco.princeton.edu/books/henry-strictly-business/,Fiction,Strictly Business: More Stories of the Four Million,"Henry, O.",,,,,,1910,Book,FALSE,https://archive.org/details/strictlybusiness00henr_0,,,3,3,0,1948;1947;1924;1941,2021-11-04T22:46:25.941336+00:00
https://shakespeareandco.princeton.edu/books/bronte-complete-poems-emily/,Poetry,The Complete Poems of Emily Brontë,"Brontë, Emily",,,,,,1910,Book,FALSE,https://archive.org/details/completepoemsofe01bronuoft/page/n5/mode/2up,,,1,1,0,1928,2020-07-28T02:47:09+00:00
